Year,EducationHistory,FirstGen,GraduationYear,ApproxAge,Masters,PhD,GraduateStudent,STEM,SocialScience,Humanities
75,"Wellesley College, Bachelor's Degree, 1975, Political Science, Psychology, Boston Univ, Master's Degree, 1988, Law, Cornell Univ, MBA - Master of Business Administration, 1980, Business Administration, Suffolk County CC Col Amer, JD - Juris Doctor, 1978, Law",0,1975,69,1,0,0,0,1,0
75,"Wellesley College, Bachelor's Degree, 1975",0,1975,69,0,0,0,0,0,0
76,"Wellesley College, Bachelor's Degree, 1976, Hastings Coll, JD - Juris Doctor, 1979, Law",0,1976,68,0,0,0,0,0,0
76,"Wellesley College, Bachelor's Degree, 1976, Economics, Mathematics, University Michigan-Ann Arbor, MBA - Master of Business Administration, 1978, Business Administration",0,1976,68,1,0,0,1,1,0
76,"Wellesley College, Bachelor's Degree, 1976, Economics, University of Chicago Booth Graduate School of Business, MBA - Master of Business Administration, 1980, Economics, Finance, Marketing, Univ Chicago, MBA - Master of Business Administration, 1980, Finance",0,1976,68,1,0,0,0,1,0
76,"Wellesley College, Bachelor's Degree, 1976, Molecular Biology, Johns Hopkins University, PhD - Doctor of Philosophy, 1995, Epidemiology, Johns Hopkins University, Master's Degree, 1982, Public Health, Stanford University, MD - Doctor of Medicine, 1981, Medicine",0,1976,68,1,1,0,1,0,1
77,"Wellesley College, Bachelor's Degree, 1977, Georgetown University, 1980, Law",1,1977,67,0,0,0,0,0,0
77,"Wellesley College, Bachelor's Degree, 1977, Psychology, Hunter Coll, Master's Degree, 1990, Educational Administrtion, Ele; Early Childhood Education",0,1977,67,1,0,0,0,1,0
77,"Wellesley College, Bachelor's Degree, 1977, Psychology, Boston University, MD - Doctor of Medicine, 1981",0,1977,67,0,0,0,0,1,0
77,"Wellesley College, Bachelor's Degree, 1977, Psychology, Georgetown Univ, Master's Degree, 1996, Law, Harvard Univ, JD - Juris Doctor, 1981, Law",0,1977,67,1,0,0,0,1,0
77,"Wellesley College, Bachelor's Degree, 1977, Mathematics, Harvard Extension School, Master of Liberal Arts, 2012, Management",0,1977,67,1,0,0,1,0,0
77,"Wellesley College, Bachelor's Degree, 1977, Psychology, MIT Sloan School, Master's Degree, 1983, Finance",0,1977,67,1,0,0,0,1,0
77,"Wellesley College, Bachelor's Degree, 1977, Music, Wellesley College, BA, Music, New York University, MBA - Master of Business Administration, 1983, Accounting, New York University, MBA, Accounting/CPA",0,1977,67,1,0,0,0,0,1
77,"Wellesley College, Bachelor's Degree, 1977, East Asian Studies, Political Science, Harvard Univ, PhD - Doctor of Philosophy, 2001, Education Studies, Stanford University, Master's Degree, 1981, Languages, Asian",0,1977,67,1,1,0,0,1,1
77,"Wellesley College, Bachelor's Degree, 1977",0,1977,67,0,0,0,0,0,0
77,"Wellesley College, Bachelor's Degree, 1977, Univ California-San Diego, Undergraduate Certificate",0,1977,67,0,0,0,0,0,0
78,"Wellesley College, Bachelor's Degree, 1978, Economics, Mathematics, Boston Univ, Undergraduate Certificate",0,1978,66,0,0,0,1,1,0
78,"Wellesley College, Bachelor's Degree, 1978",0,1978,66,0,0,0,0,0,0
78,"Wellesley College, Bachelor's Degree, 1978, French, Columbia Univ Columbia Coll, Master's Degree, 1981, Journalism",0,1978,66,1,0,0,0,0,1
78,"Wellesley College, Bachelor's Degree, 1978, Spanish, Columbia University - Graduate School of Journalism, MS, 1982, Broadcasting",0,1978,66,0,0,0,0,0,1
78,"Wellesley College, Bachelor's Degree, 1978, Biological Sciences, Chemistry, Psychology, Univ Wisconsin-Madison, MD - Doctor of Medicine, 1985, Medicine",0,1978,66,0,0,0,1,1,0
78,"Wellesley College, Bachelor's Degree, 1978, Psychology, Univ North Carolina-Chapel Hil, PhD - Doctor of Philosophy, 1986, Psychology",0,1978,66,0,1,0,0,1,1
78,"Wellesley College, Bachelor's Degree, 1978, Art History, Boston College, Other, 1987, Carroll School of Management",0,1978,66,0,0,0,0,1,1
78,"Wellesley College, Bachelor's Degree, 1978, English, Classics",0,1978,66,0,0,0,0,0,1
79,"Wellesley College, Bachelor's Degree, 1979, Economics, University of California Berkeley, Other, Library and Information Science, SUNY - Stony Brook, Other, Economics",1,1979,65,0,0,0,0,1,0
79,"Wellesley College, Bachelor's Degree, 1979, Psychology, Univ Massachusetts-Amherst, Master's Degree, 1985, Psychology, Univ Massachusetts-Amherst, PhD - Doctor of Philosophy, 1986, Psychology, Clinical",1,1979,65,1,1,0,0,1,1
79,"The College of New Jersey, Bachelor's Degree, 1979, Springfield College, Master's Degree, 1987, Physical Education - Administration",1,1979,65,1,0,0,0,1,0
79,"Wellesley College, Bachelor's Degree, 1979, French, Harvard Univ, Master's Degree, 1982, Education Studies",1,1979,65,1,0,0,0,1,1
79,"Wellesley College, BA, 1979, Economics, Montclair Kimberley Academy, 1975",0,1979,65,0,0,0,0,1,0
79,"Wellesley College, Bachelor's Degree, 1979, Economics, Harvard Univ, Master's Degree, 1999, Public Administration",0,1979,65,1,0,0,0,1,0
79,"Wellesley College, Bachelor of Arts (B.A.), 1979, Wellesley College, Bachelor's Degree, 1979, Sociology, University of Southern California Leonard Davis School of Geronotology, Master of Arts (M.A.), 2014, Gerontology",0,1979,65,1,0,0,0,1,0
79,"Wellesley College, Bachelor's Degree, 1979, English, American University, JD - Juris Doctor, 1983, Law",0,1979,65,0,0,0,0,0,1
79,"Wellesley College, Bachelor's Degree, 1979, Philosophy",0,1979,65,0,0,0,0,0,1
79,"Wellesley College, Bachelor's Degree, 1979, Political Science, Columbia Univ Columbia Coll, MBA - Master of Business Administration, 1987, Finance",0,1979,65,1,0,0,0,1,0
79,"Wellesley College, Bachelor's Degree, 1979, Philosophy, Univ Connecticut, Master's Degree, 1996, Community Organization, Univ Virginia, JD - Juris Doctor, 1984, Law",0,1979,65,1,0,0,0,0,1
79,"Wellesley College, Bachelor's Degree, 1979, French, Harvard University Graduate School of Education, Master of Education (M.Ed.), 1982, Administration, Planning & Social Policy",0,1979,65,1,0,0,0,1,1
80,"Wellesley College, Bachelor's Degree, 1980, Political Science, Psychology, George Washington Univ, JD - Juris Doctor, 1983, Law",1,1980,64,0,0,0,0,1,0
80,"Wellesley College, Bachelor's Degree, 1980, Economics, Harvard Univ, MBA - Master of Business Administration, 1985, Accounting",1,1980,64,1,0,0,0,1,0
80,"Wellesley College, Bachelor's Degree, 1980, Economics, Political Science, Stern School of Business, MBA - Master of Business Administration, 1985, Business Administration, New York University Stern School of Business, MBA Finance",1,1980,64,1,0,0,0,1,0
80,"Brandeis Univ, Other, 1975, Political Science/Intl Affairs, Wellesley College, Bachelor's Degree, 1980, Psychology, Boston College, Master's Degree, 1982, Social Work, Clinical",1,1980,64,1,0,0,0,1,0
80,"Wellesley College, Bachelor's Degree, 1979, French, Massachusetts Inst of Tech, Master's Degree, 1988, Real Estate, Harvard Univ, MBA - Master of Business Administration, 1983, Finance",0,1980,64,1,0,0,0,0,1
80,"Wellesley College, Bachelor's Degree, 1981, History, Princeton Theological Seminary, Master's Degree, Divinity Studies",0,1980,64,1,0,0,0,1,0
80,"Wellesley College, Bachelor's Degree, 1980, Music, SUNY at Stony Brook school of medicine, MD - Doctor of Medicine, 1984, Medicine",0,1980,64,0,0,0,0,0,1
80,"Wellesley College, Bachelor's Degree, 1980, Psychology, Univ Hartford, PhD - Doctor of Philosophy, 2015, Mid-Career Doctorate in Educational Leadership, Saint Josephs Coll, Master's Degree, 2000, Special Education",0,1980,64,1,1,0,0,1,1
80,"Wellesley College, Bachelor's Degree, 1981, Psychobiology, Boston Univ, MBA - Master of Business Administration, 1986, Finance",0,1980,64,1,0,0,0,0,0
80,"Wellesley College, BA, 1980, English, University of Nevada - Las Vegas, Graduate Certificate, 2020, University of Nevada - Las Vegas, Graduate Certificate, 2019, Hamline University, Graduate Certificate, 2013, college admissions, Queens College, MLS, 1989, Library Science, Columbia Univ Columbia Coll, JD - Juris Doctor, 1983, Law",0,1980,64,0,0,0,0,0,1
80,"Wellesley College, Bachelor's Degree, 1980, Anthropology, Lesley University, Master's Degree, 1988, Business Administration",0,1980,64,1,0,0,0,1,0
80,"Wellesley College, Bachelor's Degree, 1980, English",0,1980,64,0,0,0,0,0,1
80,"Wellesley College, Bachelor's Degree, 1980, Economics",0,1980,64,0,0,0,0,1,0
80,"Wellesley College, Bachelor's Degree, 1980, Art History, Political Science, New York University, MBA - Master of Business Administration, 1985, Finance",0,1980,64,1,0,0,0,1,1
81,"Wellesley College, Bachelor's Degree, 1981, English",1,1981,63,0,0,0,0,0,1
81,"Wellesley College, Bachelor's Degree, 1981, Biological Sciences, Connecticut College",1,1981,63,0,0,0,0,0,0
81,"Wellesley College, Bachelor's Degree, 1981, English, Simmons College, MBA - Master of Business Administration, 1985, Business Administration",0,1981,63,1,0,0,0,0,1
81,"Wellesley College, Bachelor's Degree, 1981, Economics, French, German, George Washington Univ, JD - Juris Doctor, 1989, Law",0,1981,63,0,0,0,0,1,1
81,"Wellesley College, Bachelor's Degree",0,1981,63,0,0,0,0,0,0
81,"Wellesley College, Bachelor's Degree, 1981, Economics, London Sch Economics & Pol Sci, Master's Degree, 1982, Economics",0,1981,63,1,0,0,0,1,0
81,"Wellesley College, Bachelor's Degree, 1981, Anthropology, Univ Chicago, PhD - Doctor of Philosophy, 1992, Univ Chicago, Master's Degree, 1984",0,1981,63,1,1,0,0,1,1
81,"Wellesley College, Bachelor's Degree, 1981, English",0,1981,63,0,0,0,0,0,1
81,"Wellesley College, Bachelor's Degree, 1981, Mathematics",0,1981,63,0,0,0,1,0,0
82,"Wellesley College, Bachelor's Degree, 1982, Italian, Suny Center At Albany, Master's Degree, 2002, Education Studies, Suny Center At Albany, PhD - Doctor of Philosophy, 2012",1,1982,62,1,1,0,0,1,1
82,"Bond Hill Elementary School, Other, 1972, college preparatory curriculum, Walnut Hills High School, High School, 1978, Latin based, college preparatory program, Wellesley College, Bachelor's Degree, 1982, Political Science, Harvard Univ, JD - Juris Doctor, 1986, Law",1,1982,62,0,0,0,0,1,0
82,"Wellesley College, Bachelor of Arts (B.A.), 1982, Studio Art, Rutgers, The State University of New Jersey-New Brunswick, M.L.S., 1996, Reference Services, Indiana Univ-Bloomington, Master's Degree, 1994, Art History",0,1982,62,1,0,0,0,1,1
82,"Wellesley College, Bachelor's Degree, 1982, Italian, Suny Center At Albany, PhD - Doctor of Philosophy, 2012, Suny Center At Albany, Master's Degree, 2002, Education Studies",0,1982,62,1,1,0,0,1,1
82,"Wellesley College, Bachelor's Degree, 1982, Music, Babson College, MBA - Master of Business Administration, 1995, Business Administration",0,1982,62,1,0,0,0,0,1
82,"Wellesley College, Bachelor's Degree, 1982, French, Wellesley College, B.A., French Language and Literature and ""Aesthetic Philosophy minor""",0,1982,62,0,0,0,0,0,1
82,"Wellesley College, Bachelor's Degree, 1982, Art Studio, Univ Southern California, Master's Degree, 1988, Indiv-Film and Media Studies",0,1982,62,1,0,0,0,0,1
82,"Wellesley College, Bachelor's Degree, 1982, Art History, New York University, MBA - Master of Business Administration, 1987, Finance",0,1982,62,1,0,0,0,1,1
83,"Wellesley College, Bachelor's Degree, 1983, Biology, Massachusetts Institute of Technology (MIT), Master's Degree, 1986, Applied Biology, Florida State University (Florida), Master's Degree, 1999, Clinical Social Work, University of Wisconsin Consortium, MBA - Master of Business Administration, 2015, Business Administration",1,1983,61,1,0,0,1,0,0
83,"Wellesley College, Bachelor's Degree, 1983, History",1,1983,61,0,0,0,0,1,0
83,"Wellesley College, Bachelor's Degree, 1983, Psychobiology, Univ California-Los Angeles, MBA - Master of Business Administration, 1987, Finance",0,1983,61,1,0,0,0,0,0
83,"Wellesley College, Bachelor's Degree, 1983, French, Political Science",0,1983,61,0,0,0,0,1,1
83,"Wellesley College, Bachelor's Degree, 1982, History, Harvard Univ, JD - Juris Doctor, 1987, Law",0,1983,61,0,0,0,0,1,0
83,"Wellesley College, Bachelor's Degree, 1983, French Cultural Studies, university of Paris, Master's Degree, 1995, French, university of Paris, Master's Degree, 1989, French, William Smith College, Other",0,1983,61,1,0,0,0,0,1
83,"Wellesley College, Bachelor's Degree, 1983, Art Studio, Bank Street College, Master's Degree, 1987, Museum Education / Early Childhood Education",0,1983,61,1,0,0,0,1,1
83,"Wellesley College, Bachelor's Degree, 1983, Mathematics, Harvard Univ, Master's Degree, 1986, Divinity Studies",0,1983,61,1,0,0,1,0,0
83,"Wellesley College, Bachelor's Degree, 1983, Italian Culture, Political Science",0,1983,61,0,0,0,0,1,1
83,"Wellesley College, Bachelor's Degree, 1983, English, Boston College, JD - Juris Doctor, 1988, Law",0,1983,61,0,0,0,0,0,1
83,"Wellesley College, Bachelor's Degree, 1983, Computer Science, Mathematics",0,1983,61,0,0,0,1,0,0
83,"Wellesley College, Bachelor's Degree, 1983, Biology, University of Wisconsin Consortium, MBA - Master of Business Administration, 2015, Business Administration, Florida State University (Florida), Master's Degree, 1999, Clinical Social Work, Massachusetts Institute of Technology (MIT), Master's Degree, 1986, Applied Biology",0,1983,61,1,0,0,1,0,0
84,"Wellesley College, Bachelor's Degree, 1984, Physics, Massachusetts Institute of Technology (MIT), PhD - Doctor of Philosophy, 1993, Electrical and Computer Engineering",1,1984,60,0,1,0,1,0,1
84,"Wellesley College, Bachelor's Degree, 1984, Indiv-Major, Psychobiology",1,1984,60,0,0,0,0,0,0
84,"Wellesley College, Bachelor's Degree, 1984, Political Science, Russian, Columbia Univ Columbia Coll, JD - Juris Doctor, 1987, Law, Columbia University - Law School, JD - Juris Doctor, 1987",1,1984,60,0,0,0,0,1,1
84,"Wellesley College, Bachelor's Degree, 1984, Indiv-Major, Philosophy, Suffolk University, JD - Juris Doctor, Law",1,1984,60,0,0,0,0,0,1
84,"Wellesley College, Bachelor's Degree, 1984, Classical Civilization, Geology, Indiana Univ-Bloomington, PhD - Doctor of Philosophy, 1991, Geology, Indiana Univ-Bloomington, Master's Degree, 1989, Geology",0,1984,60,1,1,0,0,0,1
84,"Wellesley College, Bachelor's Degree, 1984, Architecture, Boston Architectural Center, Bachelor's Degree, 1995, Architecture, Simmons College, Bachelor's Degree, Architecture",0,1984,60,0,0,0,0,0,0
84,"Wellesley College, Bachelor's Degree, 1984, Economics, Political Science, University of Tennessee (Tennessee), PhD - Doctor of Philosophy, 1995, Child Development, Univ Tennessee-Knoxville, PhD - Doctor of Philosophy, 1995, Child Development, Lesley University, Master's Degree, 1988, Teaching, Elementary Education",0,1984,60,1,1,0,0,1,1
84,"Wellesley College, Bachelor's Degree, 1984, Indiv-Major, Psychobiology",0,1984,60,0,0,0,0,0,0
84,"Wellesley College, Bachelor's Degree, 1984, Economics",0,1984,60,0,0,0,0,1,0
84,"Wellesley College, Bachelor's Degree, 1984, English, Latin, Columbia University School of Library Service, Master's Degree, 1986, Technical Services",0,1984,60,1,0,0,0,0,1
84,"Wellesley College, Bachelor's Degree, 1984, Psychology, Clarion University of Pennsylvania, Master's Degree, 2016, Information & Library Science, Univ Cincinnati, Master's Degree, 1991, Psychology",0,1984,60,1,0,0,0,1,0
84,"Wellesley College, Bachelor's Degree, 1984, History, University of Maryland, PhD - Doctor of Philosophy, 2009, Education Policy, Univ Cape Town-Africa, Master's Degree, 1998, Philosophy",0,1984,60,1,1,0,0,1,1
84,"Wellesley College, Bachelor's Degree, 1984, Physics, Massachusetts Institute of Technology (MIT), PhD - Doctor of Philosophy, 1993, Electrical and Computer Engineering",0,1984,60,0,1,0,1,0,1
84,"Wellesley College, Bachelor's Degree, 1984, Mathematics, Economics",0,1984,60,0,0,0,1,1,0
84,"Wellesley College, Bachelor's Degree, 1984, Psychobiology, Univ Pennsylvania, MBA - Master of Business Administration, 1990, Marketing",0,1984,60,1,0,0,0,0,0
84,"Wellesley College, Bachelor's Degree, 1984, Economics, Northwestern Univ, MBA - Master of Business Administration, 1993, Finance, Marketing",0,1984,60,1,0,0,0,1,0
84,"Wellesley College, Bachelor of Arts (BA), English Language and Literature/Letters",0,1984,60,0,0,0,0,0,1
